question_german,year,episode_number,name,listen_url,,question_english
Lieber 4 Stunden lang mit 3 dreadbelockten Hippies oder 3 stumpfen Nazis √ºber Politik unterhalten?,2018,33,Felix,https://open.spotify.com/episode/6Rt5tlQzAyXUnm19Y6mx9B?go=1&t=423, ,Would you rather talk about politics for 4 hours with 3 dreadlocked hippies or 3 dull Nazis?
Was ist das Provisorischste an deiner Wohnung?,2020,119,Felix,https://open.spotify.com/episode/3IHvV480YU8S1B4ptUtntN?go=1&t=3061, ,What’s the most makeshift thing in your apartment?
"Hast du jemals ein Geschenk bekommen, was dich richtig sauer gemacht hat?",2023,210,Felix,https://open.spotify.com/episode/6IEdfgYGMUWbhf5BBIphCX?go=1&t=3929, ,Have you ever received a gift that really made you angry?
Kannst du malen?,2020,123,Felix,https://open.spotify.com/episode/1ZOUfvSu8oyGY2JyB2lvY8?go=1&t=4089, ,Can you paint?
"Glaubst du, die Kirche h√§tte ein anderes Symbol, wenn Jesus anders gestorben w√§re?",2019,59,Tommi,https://open.spotify.com/episode/7Gqx6bUQOvhX3DWmLqY3ub?go=1&t=2362, ,Do you think the church would have a different symbol if Jesus had died differently?
Welche B√§renart findest du am coolsten?,2020,114,Felix,https://open.spotify.com/episode/4oD0r7GvIomKHOvhLNZh25?go=1&t=1927, ,Which type of bear do you think is the coolest?
Auf welches technische Ger√§t k√∂nntest du am ehesten verzichten?,2023,228,Felix,https://open.spotify.com/episode/1CTrXJAlwBdklYnYAWVAUs?go=1&t=2957, ,Which technical device could you most easily live without?
"Welche kriminelle Tat w√ºrdest du begehen, wenn du dringend an Geld kommen m√ºsstest?",2022,189,Tommi,https://open.spotify.com/episode/2DW2o7uaWRCPP1w8U4FEaq?go=1&t=3821, ,What crime would you commit if you desperately needed money?
Welche Eigenschaft von dir hat sich im Alter komplett ver√§ndert?,2022,182,Tommi,https://open.spotify.com/episode/2JMFoNwSE0YKtuesCc98ji?go=1&t=3120, ,Which of your traits has completely changed as you’ve gotten older?
Welches Nutzfahrzeug w√ºrdest du gerne mal bedienen?,2021,160,Felix,https://open.spotify.com/episode/4iLzG8ZdB3NDorBbCiCc2e?go=1&t=4352, ,Which utility vehicle would you like to operate?
Mit welchem Promi w√ºrdest du gern f√ºr einen Tag tauschen?,2019,61,Tommi,https://open.spotify.com/episode/620rbiW9IafwyFVhiatHhc?go=1&t=2638, ,Which celebrity would you like to switch places with for a day?
Bei welcher T√§tigkeit f√ºhlst du dich am lebendigsten?,2021,150,Tommi,https://open.spotify.com/episode/1uuDJsO76nCAidIuTUVFEB?go=1&t=2777, ,During which activity do you feel most alive?
Hast du eine Lieblingsballade?,2022,177,Tommi,https://open.spotify.com/episode/0thcAAlsnwozg4uiMxkrYV?go=1&t=4138, ,Do you have a favorite ballad?
"Welche war die letzte Kleinigkeit im Alltag, die du sch√∂n fandest?",2019,61,Tommi,https://open.spotify.com/episode/620rbiW9IafwyFVhiatHhc?go=1&t=3245, ,What was the last small everyday thing you found beautiful?
"Was ist eine Charaktereigenschaft von dir, die sich fundamental ge√§ndert hat?",2021,162,Tommi,https://open.spotify.com/episode/2bWBlL2Z5649eifhSYIaP5?go=1&t=2914, ,What’s a personality trait of yours that has fundamentally changed?
"Was war die letzte Entscheidung, die du so richtig bereut hast?",2018,43,Felix,https://open.spotify.com/episode/5LhAru2YPzlLHtPW1rpbJr?go=1&t=1663, ,What was the last decision you really regretted?
Welche Supermarktkette ist deine Liebste?,2018,40,Tommi,https://open.spotify.com/episode/7aBJOKRo2N2mGwbThl9TAw?go=1&t=2487, ,Which supermarket chain is your favorite?
Worauf bist du in anderen Kulturen neidisch?,2020,98,Felix,https://open.spotify.com/episode/2xEtqeRciL9Syr0lbugF3M?go=1&t=3642, ,What do you envy about other cultures?
Was stresst dich mehr: Zu hell oder zu dunkel?,2021,152,Felix,https://open.spotify.com/episode/0rbyiPCZGSuFhvcCf9cVXh?go=1&t=2314, ,What stresses you more: too bright or too dark?
Was sind deine St√§rken?,2019,59,Tommi,https://open.spotify.com/episode/7Gqx6bUQOvhX3DWmLqY3ub?go=1&t=1740, ,What are your strengths?
Wie sieht dein Ruhestand aus?,2020,92,Tommi,https://open.spotify.com/episode/4QHfqWTANsvwoUsmISchqT?go=1&t=4314, ,What does your retirement look like?
Auf welchen Quatsch f√§llst du in Touril√§den rein?,2021,151,Felix,https://open.spotify.com/episode/2QpHWy9te9ljXEru8mbI1Y?go=1&t=4733, ,What kind of silly tourist-shop stuff do you fall for?
"Wenn du beim Einsteigen jemanden triffst, den du gut genug kennst, um sich zusammenzusetzen, du aber keine Lust auf Small Talk hast, was machst du?",2019,59,Tommi,https://open.spotify.com/episode/7Gqx6bUQOvhX3DWmLqY3ub?go=1&t=2537, ,"If you run into someone you know well enough to sit together with on public transport but don’t feel like small talk, what do you do?"
"Wenn du dir ein teures Hobby suchen m√ºsstest, um nicht get√∂tet zu werden, welches w√ºrdest du w√§hlen?",2023,217,Felix,, ,"If your life depended on picking an expensive hobby, which one would you choose?"
"Hattest du mal einen Anruf, der dein Leben ver√§ndert hat?",2020,117,Tommi,https://open.spotify.com/episode/0HEwOHjEDfe2dzds9cJ0G3?go=1&t=3464, ,Have you ever had a phone call that changed your life?
Was machst du an einem Sommerabend 2006?,2006,150,Tommi,https://open.spotify.com/episode/1uuDJsO76nCAidIuTUVFEB?go=1&t=5086, ,What were you doing on a summer evening in 2006?
"Welches Gesetz w√ºrdest du f√ºr Deutschland erlassen, wenn du k√∂nntest?",2020,121,Felix,https://open.spotify.com/episode/3NgDxSLt6MJMD56QWIfLyv?go=1&t=3961, ,What law would you pass for Germany if you could?
"Bei welchen sinnlosen, zeitraubenden Videos bleibst du in letzter Zeit h√§ngen?",2023,237,Felix,https://open.spotify.com/episode/5l74DHP3ImV01bFcIW6fJi?go=1&t=3095, ,"What kind of pointless, time-wasting videos have you been getting stuck on lately?"
Hast du dich fr√ºher kurz vor einer Klausur mit Strebern gut gestellt?,2019,63,Tommi,https://open.spotify.com/episode/4C7L8xofTXVuxH1wAvgi1A?go=1&t=3225, ,Did you used to befriend nerds right before an exam?
Wie sonnst du dich?,2022,193,Felix,https://open.spotify.com/episode/1RpCC7MsDcqSNIUi3hTg89?go=1&t=3424, ,How do you sunbathe?
Welcher Hype sollte schnell wieder verschwinden?,2022,167,Tommi,https://open.spotify.com/episode/3jiHSM4gsSqYoYlIppk1T1?go=1&t=4524, ,Which hype should disappear quickly?
Welcher Toast-Typ bist du?,2018,46,Felix,https://open.spotify.com/episode/5c09kILyfpnVGp4F9SiTkI?go=1&t=2054, ,What kind of toast person are you?
Wie findet man als Erwachsener neue Freunde?,2023,240,Felix,https://open.spotify.com/episode/60dsR1u9gYRQpEFm5v2gee?go=1&t=1622, ,How do adults make new friends?
Hast du irrationale √Ñngste?,2020,110,Tommi,https://open.spotify.com/episode/2LuKCDRxA3PrmJnDDdl1YF?go=1&t=3961, ,Do you have irrational fears?
Welchen Traum wirst du dir nie erf√ºllen?,2021,156,Tommi,https://open.spotify.com/episode/4sVcEcAjy7w85yPUiM6rpx?go=1&t=3225, ,What dream will you never fulfill?
Wie sieht ein durchschnittlicher Arbeitstag von dir aus?,2018,23,Felix,https://open.spotify.com/episode/3YgzS0n54rfaCB9tyHdCxP?go=1&t=1040, ,What does an average workday look like for you?
"Gibt es Architektur, die was mit dir macht?",2021,156,Tommi,https://open.spotify.com/episode/4sVcEcAjy7w85yPUiM6rpx?go=1&t=3912, ,Is there architecture that moves you emotionally?
Warum f√§lschen Goldf√§lscher keine Punzen?,2019,53,Felix,, ,Why don’t gold forgers fake hallmarks?
"Wor√ºber regst du dich unverh√§ltnism√§√üig stark auf, obwohl es dir eigentlich v√∂llig egal sein k√∂nnte?",2022,191,Felix,https://open.spotify.com/episode/2FsBXBfd98muhIVyLxlJbT?go=1&t=4820, ,What do you get disproportionately upset about even though you actually don’t care? 
Wie sieht der Sommer bei dir aus?,2019,72,Felix,https://open.spotify.com/episode/1AT76QM4JXRaGUwjstaKLe?go=1&t=2347, ,What does summer look like for you?
Wer ist dein liebster Nachrichtensprecher?,2022,206,Felix,https://open.spotify.com/episode/4tI76AevfunAQhvAdkSQWW?go=1&t=1913, ,Who is your favorite news anchor?
Welches Lied l√∂st bei dir immer Melancholie aus?,2019,69,Tommi,https://open.spotify.com/episode/6zTP5Qls3MtsE1bajjBoZf?go=1&t=3930, ,Which song always makes you feel melancholic?
"Wie spricht man heutzutage Frauen an, ohne dass es komisch wirkt?",2019,58,,https://open.spotify.com/episode/0XsdfC9bse858d2ZQKmLjX?go=1&t=1413, ,How do you approach women these days without it being awkward?
Wann hast du dich das letzte Mal so richtig deutsch gef√ºhlt?,2022,193,Felix,https://open.spotify.com/episode/1RpCC7MsDcqSNIUi3hTg89?go=1&t=4750, ,When was the last time you truly felt German?
Was ist dein Vorsatz f√ºr die Sommerpause?,2021,151,Felix,https://open.spotify.com/episode/2QpHWy9te9ljXEru8mbI1Y?go=1&t=4196, ,What’s your goal for the summer break?
Was war dein merkw√ºrdigstes Arzt-Erlebnis?,2020,113,Tommi,https://open.spotify.com/episode/5cv4GwQDvmRMd5Buq7Mpke?go=1&t=4572, ,What was your strangest doctor’s appointment?
Auf welches Urlaubsziel hast du dieses Jahr Lust?,2022,180,Tommi,https://open.spotify.com/episode/5l7feie7QVNJJYGBspNtr8?go=1&t=4205, ,Which vacation destination are you excited about this year?
Was hatte r√ºckblickend einen gro√üen Einfluss auf dein Leben?,2021,155,Felix,https://open.spotify.com/episode/6zxSlXy99qv8dDbOSkh2m0?go=1&t=2714, ,"Looking back, what had a big influence on your life?"
"Glaubst du Spatzen hei√üen Spatzen, weil man sie meistens beim Spazierengehen trifft?",2018,41,Felix,https://open.spotify.com/episode/6GV8g9pBCDuU3MJ4kazbmd?go=1&t=1987, ,Do you think sparrows are called sparrows because you usually see them while walking (“spazieren”)?
Was ist dein hippes Pleasure?,2019,57,Felix,https://open.spotify.com/episode/1PLJi3b8Xwa37A74MyZxWm?go=1&t=2226, ,What’s your trendy guilty pleasure?
"Gibt es jemanden in deinem Freundeskreis, der sich antizyklisch entwickelt hat?",2021,148,Tommi,https://open.spotify.com/episode/7ou0d8i6PvTCkGJOnutA6l?go=1&t=4636, ,Is there someone in your friend group who has developed in the opposite direction of everyone else?
Klopfen oder Klatschen beim Zustimmen?,2018,44,Tommi,https://open.spotify.com/episode/3l0uIPrCbPCcfVP2DDHePv?go=1&t=2332, ,Knocking or clapping to show agreement?
Wie w√ºrdest du deine Tochter und wie deinen Sohn nennen?,2019,71,Tommi,https://open.spotify.com/episode/43ZzLWHg2GEVR69HUHqe9E?go=1&t=3983, ,What would you name your daughter and your son?
Welches Essen ist nur in dem Moment geil?,2021,137,Felix,https://open.spotify.com/episode/5poLp9EsfQ4YsjKcquCHm7?go=1&t=3171, ,What food is only good in the moment?
"Du gehst auf Toilette und du hast dein Handy nicht dabei, womit besch√§ftigst du dich?",2019,58,,https://open.spotify.com/episode/0XsdfC9bse858d2ZQKmLjX?go=1&t=2794, ,You go to the bathroom and don’t have your phone with you — what do you do?
Was ist deine gr√∂√üte Monkigkeit?,2022,206,Felix,https://open.spotify.com/episode/4tI76AevfunAQhvAdkSQWW?go=1&t=3489, ,What’s your biggest “Monk” habit (quirky perfectionism)?
Was ist eine falsche Annahme √ºber deine Pers√∂nlichkeit?,2021,144,Felix,https://open.spotify.com/episode/2t7ELeewitCK7EKMHy5Lbu?go=1&t=3592, ,What’s a false assumption people make about your personality?
"Was ist deine Lieblingsfarbe bei: Auto, T-Shirt, Hund, Nagellack bei Frauen?",2023,237,Felix,https://open.spotify.com/episode/5l74DHP3ImV01bFcIW6fJi?go=1&t=3629, ,"What’s your favorite color for: car, t-shirt, dog, and nail polish on women?"
Was w√ºrdest du gern k√∂nnen?,2020,114,Felix,https://open.spotify.com/episode/4oD0r7GvIomKHOvhLNZh25?go=1&t=4466, ,What’s something you wish you could do?
Wer ist der sch√∂nste Mann in Deutschland?,2023,209,Tommi,https://open.spotify.com/episode/1A6A1YVh44qBoKezNR8RfY?go=1&t=4131, ,Who is the most handsome man in Germany?
Wovon hast du √ºberhaupt keine Ahnung?,2019,77,Tommi,https://open.spotify.com/episode/7sJCvtJN2HUWoeUTQeT0TY?go=1&t=1800, ,What’s something you have absolutely no clue about?
Was f√ºr ein Motorrad h√§ttest du?,2020,113,Tommi,https://open.spotify.com/episode/5cv4GwQDvmRMd5Buq7Mpke?go=1&t=3714, ,What kind of motorcycle would you have?
Was war bisher das Krasseste in deinem Leben?,2020,124,Felix,, ,What’s the craziest thing that’s happened in your life so far?
"Was ist deine Lieblingsart, sich auf √∂ffentlichen Toiletten die H√§nde abzutrocknen?",2018,42,Tommi,https://open.spotify.com/episode/1zc3bn8eFwXCfaMtRnspcf?go=1&t=1579, ,What’s your favorite way to dry your hands in public restrooms?
Was sind deine St√§rken?,2017,5,Tommi,https://open.spotify.com/episode/3gjrzvNUwT2NaG10lxetUG?go=1&t=673, ,What are your strengths?
Welches ist dein Lieblingscomputerspiel?,2022,170,Tommi,https://open.spotify.com/episode/3OHhP7iPabxcCIadZvMJ7I?go=1&t=2959, ,What’s your favorite computer game?
Was war dein Lieblingsspielzeug als Kind?,2022,204,Tommi,https://open.spotify.com/episode/4p1LgYmIbkGlVMJJHXYhvi?go=1&t=3476, ,What was your favorite toy as a kid?
Hast du mal etwas richtig Dummes erfunden?,2022,179,Felix,https://open.spotify.com/episode/1DYg1l6xLFO54ewbK0HSzR?go=1&t=2314, ,Have you ever invented something really stupid?
"Meinst du, es gibt eitle Terroristen?",2018,49,Tommi,https://open.spotify.com/episode/2ii0zBC8cVKPudPjtyETB8?go=1&t=1848, ,Do you think there are vain terrorists?
Welche Frage w√ºrde dir dein f√ºnfzehnj√§hriges ich stellen?,2017,4,Felix,https://open.spotify.com/episode/6sZoQS2B7wRxSErtbyoAaA?go=1&t=890, ,What question would your fifteen-year-old self ask you?
"Was ist das unbefriedigendste Essen, wenn du richtig Hunger hast?",2023,239,Tommi,https://open.spotify.com/episode/0z9ASWjHSH0p82mLAAlZjS?go=1&t=3160, ,What’s the most unsatisfying food when you’re really hungry?
"Welcher ist der beste Joker bei ""Wer wird Million√§r""?",2021,135,Tommi,https://open.spotify.com/episode/3qqtCnEuJ1gs21rXBz1ClS?go=1&t=3997, ,Which is the best lifeline (“joker”) on *Who Wants to Be a Millionaire?*
Welches Land k√§me f√ºr dich zum Auswandern infrage?,2022,178,Tommi,https://open.spotify.com/episode/5ONVlo5rNtEza4grWDSpbu?go=1&t=3234, ,Which country would you consider emigrating to?
"Welche Ger√ºche hast du in der Nase, wenn du an deine Kindheit/Schulzeit denkst?",2018,40,Tommi,https://open.spotify.com/episode/7aBJOKRo2N2mGwbThl9TAw?go=1&t=3102, ,What smells come to mind when you think of your childhood or school days?
W√ºrdest du dich auf den Mars umsiedeln lassen?,2023,209,Tommi,https://open.spotify.com/episode/1A6A1YVh44qBoKezNR8RfY?go=1&t=3870, ,Would you let yourself be relocated to Mars?
"Was hasst du, was andere cool finden?",2020,113,Tommi,https://open.spotify.com/episode/5cv4GwQDvmRMd5Buq7Mpke?go=1&t=3876, ,What do you hate that others think is cool?
Hast du einen Guilty-Pleasure Film?,2019,60,Felix,https://open.spotify.com/episode/2zbINdbLuDhmviPmC0BKOY?go=1&t=2812, ,Do you have a guilty pleasure movie?
"Hast du einen Ort, an dem du immer Sachen verlegst?",2021,132,Felix,https://open.spotify.com/episode/2BivSWq3V4AuivPJRGSuxr?go=1&t=3259, ,Is there a place where you always misplace things?
Holst du dir in deiner Midlife-Crisis eher eine Harley oder eine gro√üe Pfefferm√ºhle?,2019,53,Tommi,https://open.spotify.com/episode/3LLpmVV8B1T2ocqWMN4m7f?go=1&t=836, ,"In your midlife crisis, would you rather get a Harley or a giant pepper mill?"
Was ist eigentlich noch undenkbar?,2022,175,Tommi,https://open.spotify.com/episode/2KVZdX6nhAXe3qKCOfSqlh?go=1&t=2303, ,What is actually still unthinkable today?
Brille oder Kontaktlinse?,2019,82,Felix,https://open.spotify.com/episode/0RqDywj0uBwXaiyLGVx7kr?go=1&t=1737, ,Glasses or contact lenses?
"Wenn du fr√ºher w√§hrend der Schule krank zu Hause warst, wie sah dein Tag aus?",2019,61,Tommi,https://open.spotify.com/episode/620rbiW9IafwyFVhiatHhc?go=1&t=3499, ,"When you were sick at home during school, what did your day look like?"
Hast du mit irgendeinem Freund eine spannende Kennlerngeschichte??,2022,203,Felix,https://open.spotify.com/episode/173KZvg1ChbYI9rdl0GGkg?go=1&t=3855, ,Do you have an interesting story about how you met one of your friends?
F√ºr welchen Ratschlag bist du noch heute dankbar?,2020,102,Felix,https://open.spotify.com/episode/1iOCEmAwLwJRwsc04qadb4?go=1&t=4098, ,What piece of advice are you still thankful for today?
"Was w√ºrde sich im Fitnessbereich √§ndern, wenn beim Zunehmen auch der Penis dicker werden w√ºrde?",2023,213,Tommi,https://open.spotify.com/episode/1CRvHAMg16j31KNANBL2on?go=1&t=3536, ,What would change in the fitness world if gaining weight also made your penis thicker?
Was ist dein Lieblingsbadespielzeug?,2021,151,Felix,https://open.spotify.com/episode/2QpHWy9te9ljXEru8mbI1Y?go=1&t=3758, ,What’s your favorite bath toy?
Welcher ist dein Lieblingswal?,2020,98,Felix,https://open.spotify.com/episode/2xEtqeRciL9Syr0lbugF3M?go=1&t=3256, ,Which whale is your favorite?
Wem glaubst du grunds√§tzlich eher: M√§nnern oder Frauen?,2023,210,Felix,https://open.spotify.com/episode/6IEdfgYGMUWbhf5BBIphCX?go=1&t=2086, ,Who do you generally believe more: men or women?
Nie wieder Alkohol oder nie wieder Kaffee?,2020,100,Felix,https://open.spotify.com/episode/6gLEhoEMagBv6R2yWsiVP7?go=1&t=4220, ,Never drink alcohol again or never drink coffee again?
